movie_id,title,release_date,genres
250809,The Unmatchable Match,1990-05-11,"['Crime', 'Action']"
11309,Hardware,1990-09-14,"['Science Fiction', 'Thriller', 'Horror']"
26914,Troll 2,1990-10-12,"['Horror', 'Fantasy']"
11856,Air America,1990-08-10,"['Action', 'Adventure', 'Comedy', 'Drama']"
44281,Halfaouine: Boy of the Terraces,1990-09-14,"['Comedy', 'Drama']"
20701,Tales from the Darkside: The Movie,1990-05-03,"['Thriller', 'Comedy', 'Fantasy', 'Horror']"
28761,"White Hunter, Black Heart",1990-05-16,"['Adventure', 'Drama']"
32669,The Two Jakes,1990-08-10,"['Crime', 'Drama', 'Mystery']"
10170,The Russia House,1990-12-21,"['Drama', 'Thriller', 'Romance']"
427910,Navy Seals,1990-07-20,['Action']
11909,Bullet in the Head,1990-08-17,"['Crime', 'Drama', 'Action']"
138960,"Look Out, Officer!",1990-07-27,"['Action', 'Comedy', 'Crime', 'Fantasy']"
58412,Tiger Cage II,1990-08-11,"['Action', 'Crime']"
19158,Graveyard Shift,1990-10-26,['Horror']
9491,Blue Steel,1990-03-16,['Thriller']
8217,Alice,1990-12-25,"['Fantasy', 'Drama', 'Romance', 'Comedy']"
16384,My Blue Heaven,1990-08-17,"['Action', 'Comedy']"
59053,The Raffle,1991-11-15,['Drama']
298191,Liao Zhai - Home for the Intimate Ghosts,1991-05-03,['Fantasy']
298094,Hidden Desire,1991-11-15,"['Romance', 'Drama']"
280,Terminator 2: Judgment Day,1991-07-03,"['Action', 'Thriller', 'Science Fiction']"
173129,The Golden Lotus: Love and Desire,1991-05-09,"['Drama', 'Romance']"
72808,The Flesh,1991-05-09,"['Drama', 'Romance']"
50270,Paprika,1991-02-13,['Drama']
10020,Beauty and the Beast,1991-10-22,"['Romance', 'Family', 'Animation', 'Fantasy']"
820,JFK,1991-12-20,"['Drama', 'Thriller', 'History']"
36630,Zandalee,1991-05-09,"['Drama', 'Romance', 'Thriller']"
4032,My Girl,1991-11-27,"['Comedy', 'Drama']"
1089,Point Break,1991-01-31,"['Action', 'Thriller', 'Crime']"
879,Hook,1991-04-10,"['Adventure', 'Fantasy', 'Comedy', 'Family']"
24752,Dragon Ball Z: Cooler's Revenge,1991-07-20,"['Action', 'Animation', 'Science Fiction']"
11187,Child's Play 3,1991-08-30,"['Horror', 'Thriller']"
2907,The Addams Family,1991-11-22,"['Comedy', 'Fantasy']"
16270,Career Opportunities,1991-03-29,"['Romance', 'Comedy']"
650,Boyz n the Hood,1991-07-12,"['Crime', 'Drama']"
8367,Robin Hood: Prince of Thieves,1991-06-14,"['Action', 'Adventure', 'Drama']"
9319,The Last Boy Scout,1991-12-13,"['Action', 'Thriller']"
1598,Cape Fear,1991-11-13,"['Crime', 'Thriller']"
39102,Dragon Ball Z: Lord Slug,1991-03-19,"['Action', 'Animation', 'Science Fiction']"
15080,Only Yesterday,1991-07-20,"['Animation', 'Drama', 'Romance']"
9594,Double Impact,1991-07-31,"['Thriller', 'Action', 'Crime', 'Drama']"
